Product ID,Product Name,Price,Stock Quantity,Warranty Period,Product Dimensions,Manufacturing Date,Expiration Date,Color/Size Variations,Product Ratings
G2VYVWJW,Monitor,414.77,68.0,3.0,20x5x17 cm,2023-07-30,2024-01-01,Red/Small,
DS3LLM89,Monitor,101.65,46.0,,16x7x5 cm,2023-01-01,2026-01-01,Blue/Medium,5.0
IMA9L8GW,Headphones,386.66,81.0,3.0,9x15x16 cm,2023-03-15,2025-01-01,Green/Large,5.0
DM8G8Q80,Laptop,91.34,58.0,3.0,8x6x18 cm,2023-01-01,2026-01-01,Blue/Medium,1.0
5OLXFJ3U,Monitor,187.34,99.0,2.0,6x19x18 cm,2023-01-01,2024-01-01,Red/Small,5.0
4F7UMDD4,Laptop,491.38,,,14x8x13 cm,2023-03-15,2024-01-01,Red/Small,4.0
AMURIG7J,Headphones,444.75,5.0,3.0,11x6x19 cm,2023-01-01,2024-01-01,Blue/Medium,5.0
SKMDI0RP,Smartphone,426.66,33.0,3.0,16x8x20 cm,2023-01-01,2024-01-01,Red/Small,1.0
SYQDBB2E,Monitor,181.9,21.0,,19x11x7 cm,2023-03-15,2025-01-01,Blue/Medium,5.0
FVT7L1HF,Monitor,69.27,84.0,1.0,8x20x20 cm,2023-01-01,2026-01-01,Blue/Medium,5.0
T2LJ1532,Monitor,,32.0,1.0,16x12x16 cm,2023-03-15,2024-01-01,Red/Small,
96WXEBPH,Monitor,,,3.0,13x5x8 cm,2023-01-01,2026-01-01,Blue/Medium,
0W04R3M3,Smartphone,384.68,20.0,1.0,11x12x13 cm,2023-07-30,2026-01-01,Green/Large,1.0
OWK7XPJ2,Monitor,204.15,52.0,2.0,19x10x5 cm,2023-01-01,2026-01-01,Green/Large,1.0
D0JP5Y75,Laptop,459.64,14.0,1.0,9x11x6 cm,2023-01-01,2026-01-01,Blue/Medium,4.0
D5K8GBBQ,Smartphone,280.3,13.0,1.0,20x9x14 cm,2023-01-01,2026-01-01,Red/Small,5.0
6NFRGQEK,Monitor,,,,12x5x14 cm,2023-01-01,2026-01-01,Red/Small,4.0
9NGH7KRF,Monitor,,,1.0,15x10x18 cm,2023-01-01,2024-01-01,Blue/Medium,3.0
2ZXDJQ35,Laptop,60.5,7.0,2.0,18x13x15 cm,2023-01-01,2026-01-01,Green/Large,
WUDVA5LY,Monitor,49.26,,2.0,13x14x18 cm,2023-07-30,2024-01-01,Red/Small,3.0
8XKQCQKO,Smartphone,38.43,20.0,2.0,7x10x18 cm,2023-07-30,2026-01-01,Red/Small,
UN8KB357,Smartphone,,,2.0,16x14x18 cm,2023-01-01,2025-01-01,Green/Large,
LRJXMKOD,Monitor,174.9,,3.0,6x7x18 cm,2023-03-15,2025-01-01,Green/Large,4.0
FUEIFFBZ,Monitor,445.7,22.0,2.0,10x5x8 cm,2023-01-01,2024-01-01,Green/Large,5.0
94ZWIP4A,Headphones,59.15,82.0,,18x15x14 cm,2023-07-30,2025-01-01,Blue/Medium,
2JXKXUXS,Laptop,35.9,42.0,2.0,18x17x18 cm,2023-07-30,2025-01-01,Red/Small,3.0
D4SK01QD,Smartphone,59.6,,3.0,14x7x6 cm,2023-07-30,2024-01-01,Green/Large,1.0
OLM7264H,Headphones,212.85,6.0,1.0,6x11x11 cm,2023-03-15,2026-01-01,Green/Large,5.0
X8IHKXNT,Smartphone,303.48,78.0,,14x19x14 cm,2023-03-15,2025-01-01,Blue/Medium,1.0
CKZ57DVS,Headphones,427.81,66.0,2.0,17x15x9 cm,2023-01-01,2026-01-01,Green/Large,1.0
YR2ZOJ9A,Monitor,346.4,64.0,2.0,8x10x9 cm,2023-07-30,2026-01-01,Green/Large,1.0
TUZ9WGHR,Smartphone,336.83,,1.0,13x12x12 cm,2023-01-01,2024-01-01,Blue/Medium,
0YPAMKZO,Laptop,427.5,79.0,3.0,8x15x14 cm,2023-01-01,2026-01-01,Red/Small,4.0
FGH88C2S,Smartphone,369.65,30.0,1.0,10x6x5 cm,2023-01-01,2025-01-01,Blue/Medium,
0629SD5N,Headphones,308.97,86.0,2.0,17x6x7 cm,2023-01-01,2024-01-01,Red/Small,
6SBKVMHH,Headphones,356.6,23.0,2.0,14x5x6 cm,2023-03-15,2026-01-01,Red/Small,5.0
XFMX5G8C,Headphones,346.46,16.0,3.0,20x20x18 cm,2023-07-30,2024-01-01,Green/Large,5.0
SZ293B1A,Monitor,289.0,,2.0,10x16x11 cm,2023-03-15,2026-01-01,Red/Small,4.0
YDSXDR32,Laptop,,23.0,,5x13x17 cm,2023-01-01,2026-01-01,Blue/Medium,4.0
XKGX0GRT,Monitor,,79.0,2.0,18x19x6 cm,2023-01-01,2025-01-01,Green/Large,
WPWLAJJO,Smartphone,337.7,91.0,1.0,15x16x19 cm,2023-01-01,2024-01-01,Red/Small,2.0
8V6C3ME5,Smartphone,55.43,62.0,,10x14x11 cm,2023-07-30,2024-01-01,Blue/Medium,5.0
D1Y6ECC3,Headphones,273.05,28.0,2.0,17x6x16 cm,2023-01-01,2025-01-01,Blue/Medium,3.0
CR4JPTWK,Headphones,27.77,,3.0,20x20x8 cm,2023-07-30,2024-01-01,Red/Small,2.0
SFP3CI8V,Headphones,479.84,,1.0,11x9x12 cm,2023-01-01,2025-01-01,Red/Small,1.0
QUYAF8Y7,Laptop,392.49,,1.0,14x9x18 cm,2023-01-01,2024-01-01,Blue/Medium,3.0
02DLYICS,Monitor,,,1.0,18x9x5 cm,2023-03-15,2024-01-01,Red/Small,3.0
MSUJGCB4,Monitor,,55.0,3.0,8x18x9 cm,2023-03-15,2025-01-01,Green/Large,4.0
PLXWDDBS,Headphones,27.95,82.0,,15x9x8 cm,2023-03-15,2024-01-01,Green/Large,1.0
OTRQLB7R,Monitor,281.89,26.0,3.0,11x8x9 cm,2023-01-01,2024-01-01,Red/Small,3.0
BF060CLC,Smartphone,97.1,57.0,2.0,8x20x13 cm,2023-03-15,2024-01-01,Red/Small,2.0
2E69Y7ZQ,Headphones,158.25,60.0,2.0,20x7x11 cm,2023-03-15,2026-01-01,Blue/Medium,4.0
4UOSWTXF,Smartphone,28.9,20.0,,12x9x19 cm,2023-01-01,2025-01-01,Blue/Medium,1.0
QIAY8BJB,Headphones,84.59,92.0,2.0,20x17x12 cm,2023-07-30,2026-01-01,Green/Large,1.0
YTDETESY,Laptop,465.55,20.0,1.0,11x15x14 cm,2023-07-30,2025-01-01,Green/Large,2.0
KBY9GO45,Headphones,385.52,30.0,2.0,19x6x8 cm,2023-03-15,2025-01-01,Blue/Medium,2.0
AS1I1ZYY,Smartphone,365.31,90.0,3.0,9x11x20 cm,2023-03-15,2025-01-01,Green/Large,4.0
Q7I3A9YV,Laptop,427.91,72.0,3.0,10x5x18 cm,2023-07-30,2024-01-01,Red/Small,
70AXOS38,Smartphone,188.23,2.0,1.0,16x16x14 cm,2023-03-15,2024-01-01,Red/Small,3.0
V7ZTZSTJ,Smartphone,136.34,,2.0,9x20x19 cm,2023-07-30,2026-01-01,Green/Large,4.0
SW7X3IXX,Headphones,390.7,36.0,,18x17x13 cm,2023-07-30,2026-01-01,Red/Small,1.0
YTKT5RP2,Headphones,,2.0,2.0,15x18x16 cm,2023-07-30,2024-01-01,Red/Small,
EGPGJBYK,Smartphone,,72.0,3.0,13x9x12 cm,2023-03-15,2024-01-01,Blue/Medium,5.0
MDRMPAJW,Laptop,184.27,97.0,1.0,14x6x5 cm,2023-03-15,2025-01-01,Red/Small,5.0
2WM80MBI,Laptop,353.73,78.0,1.0,16x12x14 cm,2023-01-01,2025-01-01,Green/Large,
4DTIOSSP,Monitor,,47.0,1.0,13x12x18 cm,2023-03-15,2024-01-01,Green/Large,5.0
JAP4WNY3,Laptop,14.58,,3.0,15x7x11 cm,2023-03-15,2024-01-01,Red/Small,
NTS1TSEK,Headphones,,,,7x16x14 cm,2023-01-01,2026-01-01,Green/Large,1.0
D0EUS3CD,Laptop,247.88,2.0,1.0,19x5x16 cm,2023-07-30,2025-01-01,Green/Large,3.0
EZIAA594,Headphones,195.67,58.0,3.0,18x5x10 cm,2023-03-15,2024-01-01,Red/Small,
LE50WT2Y,Monitor,,,,19x12x8 cm,2023-07-30,2025-01-01,Blue/Medium,
CDNODPZJ,Smartphone,218.79,54.0,1.0,7x15x6 cm,2023-01-01,2026-01-01,Green/Large,4.0
0BC0H0WO,Monitor,78.84,37.0,1.0,11x5x17 cm,2023-07-30,2026-01-01,Red/Small,
33O7TGAV,Smartphone,310.78,3.0,1.0,10x12x10 cm,2023-07-30,2024-01-01,Green/Large,4.0
0EQ5VQSD,Smartphone,86.84,76.0,,5x5x10 cm,2023-03-15,2025-01-01,Red/Small,3.0
1GK8AJYI,Smartphone,392.38,100.0,2.0,18x8x15 cm,2023-01-01,2025-01-01,Green/Large,5.0
GCFV6HU9,Laptop,,74.0,,20x14x13 cm,2023-01-01,2026-01-01,Blue/Medium,5.0
9MSIQTA0,Laptop,337.15,43.0,3.0,14x16x10 cm,2023-01-01,2026-01-01,Blue/Medium,3.0
Y3HOUQ5P,Monitor,433.62,64.0,1.0,7x7x20 cm,2023-03-15,2024-01-01,Red/Small,4.0
DS0TDKYN,Smartphone,481.01,83.0,3.0,19x5x10 cm,2023-01-01,2026-01-01,Blue/Medium,2.0
9PLC0J0R,Monitor,353.87,13.0,3.0,19x7x16 cm,2023-03-15,2026-01-01,Red/Small,4.0
0LCGRN6C,Headphones,88.12,75.0,2.0,6x7x5 cm,2023-03-15,2026-01-01,Blue/Medium,1.0
VWJFIGW2,Headphones,84.64,55.0,1.0,9x11x5 cm,2023-01-01,2025-01-01,Red/Small,3.0
IRVCYMVF,Laptop,11.17,79.0,3.0,20x13x18 cm,2023-07-30,2025-01-01,Blue/Medium,1.0
8FKO1XIW,Headphones,413.42,25.0,1.0,18x5x11 cm,2023-03-15,2025-01-01,Green/Large,1.0
MR4SRZCB,Smartphone,308.18,37.0,1.0,20x16x19 cm,2023-07-30,2026-01-01,Red/Small,
4KXE0148,Monitor,144.99,40.0,2.0,18x19x8 cm,2023-03-15,2025-01-01,Red/Small,2.0
S3Y8871R,Smartphone,429.71,,3.0,18x17x16 cm,2023-03-15,2026-01-01,Green/Large,2.0
74A5P15A,Monitor,,41.0,2.0,17x14x9 cm,2023-01-01,2024-01-01,Blue/Medium,
NLVZBRYN,Monitor,273.69,91.0,1.0,15x12x5 cm,2023-03-15,2026-01-01,Green/Large,
NBOV2B1C,Headphones,45.02,30.0,2.0,17x20x9 cm,2023-07-30,2024-01-01,Green/Large,5.0
U6SRTWJB,Laptop,71.37,99.0,1.0,16x15x18 cm,2023-03-15,2025-01-01,Green/Large,3.0
PCMLVGC1,Smartphone,345.68,82.0,1.0,11x6x5 cm,2023-07-30,2024-01-01,Blue/Medium,5.0
H1F6QCMV,Headphones,391.3,60.0,2.0,14x17x20 cm,2023-03-15,2026-01-01,Red/Small,
0SNW6SDF,Smartphone,213.87,18.0,2.0,8x5x18 cm,2023-01-01,2024-01-01,Blue/Medium,1.0
8A47WOKJ,Monitor,60.2,20.0,1.0,11x9x14 cm,2023-03-15,2025-01-01,Red/Small,3.0
3N9SP2YC,Monitor,174.32,,3.0,13x5x19 cm,2023-01-01,2024-01-01,Green/Large,3.0
Q9LDT691,Smartphone,312.36,51.0,3.0,17x20x11 cm,2023-01-01,2026-01-01,Blue/Medium,2.0
VYM2Y02A,Smartphone,483.24,7.0,3.0,18x20x18 cm,2023-01-01,2024-01-01,Red/Small,3.0
KL0MQV2O,Smartphone,439.8,87.0,2.0,13x8x20 cm,2023-07-30,2026-01-01,Blue/Medium,
IDZQC7L2,Monitor,,41.0,,11x18x8 cm,2023-03-15,2025-01-01,Red/Small,5.0
PXLOAOM0,Smartphone,494.14,18.0,1.0,18x17x13 cm,2023-01-01,2025-01-01,Green/Large,
37969JNS,Smartphone,226.72,47.0,1.0,11x11x17 cm,2023-01-01,2025-01-01,Blue/Medium,2.0
8R6D94FM,Headphones,,12.0,2.0,8x19x6 cm,2023-07-30,2026-01-01,Green/Large,4.0
5OO43XUV,Smartphone,266.0,2.0,1.0,17x18x9 cm,2023-07-30,2025-01-01,Blue/Medium,1.0
5UFOU3II,Smartphone,107.81,33.0,,12x16x5 cm,2023-01-01,2024-01-01,Red/Small,2.0
PRKLOLFC,Headphones,227.16,51.0,3.0,15x15x9 cm,2023-07-30,2025-01-01,Green/Large,
LLM9LXFR,Monitor,170.49,46.0,1.0,7x13x9 cm,2023-07-30,2024-01-01,Blue/Medium,4.0
ZCCZ6ILA,Laptop,10.77,6.0,2.0,19x8x15 cm,2023-01-01,2024-01-01,Red/Small,4.0
8B0TP0ED,Laptop,265.59,99.0,,11x6x6 cm,2023-03-15,2024-01-01,Red/Small,3.0
XZRY41LV,Smartphone,,38.0,3.0,13x7x8 cm,2023-03-15,2026-01-01,Green/Large,2.0
XJ0DXQAD,Smartphone,384.85,84.0,3.0,5x11x5 cm,2023-03-15,2024-01-01,Blue/Medium,5.0
7FWXNUSF,Smartphone,159.65,66.0,1.0,13x17x13 cm,2023-07-30,2025-01-01,Red/Small,2.0
T4RT33PZ,Monitor,28.89,80.0,3.0,19x14x6 cm,2023-01-01,2026-01-01,Blue/Medium,4.0
XXDFHKKL,Smartphone,493.76,62.0,2.0,9x11x11 cm,2023-03-15,2026-01-01,Green/Large,2.0
M6T9XCVW,Headphones,243.58,7.0,3.0,6x12x12 cm,2023-07-30,2024-01-01,Blue/Medium,1.0
65OSPZ6F,Laptop,75.01,98.0,1.0,11x16x18 cm,2023-01-01,2026-01-01,Red/Small,
VFZYWUX0,Laptop,414.54,48.0,3.0,13x17x16 cm,2023-07-30,2024-01-01,Green/Large,2.0
ZQU41NB1,Smartphone,317.22,87.0,1.0,11x5x8 cm,2023-03-15,2024-01-01,Green/Large,3.0
KJD90QQ5,Headphones,134.03,80.0,3.0,10x15x16 cm,2023-07-30,2025-01-01,Red/Small,4.0
25HX00R8,Laptop,,,1.0,12x20x20 cm,2023-03-15,2025-01-01,Green/Large,3.0
FPR4KCKL,Smartphone,,83.0,3.0,14x6x14 cm,2023-07-30,2025-01-01,Blue/Medium,
LCVWSCEY,Headphones,,97.0,,12x18x18 cm,2023-07-30,2024-01-01,Red/Small,4.0
4LQENXZL,Laptop,355.79,5.0,1.0,14x20x9 cm,2023-07-30,2026-01-01,Green/Large,5.0
H5M3Q04M,Smartphone,,,2.0,20x9x10 cm,2023-01-01,2024-01-01,Red/Small,
1UJICF7S,Monitor,355.91,23.0,1.0,18x10x19 cm,2023-03-15,2024-01-01,Red/Small,3.0
YAE036R4,Headphones,196.18,,1.0,19x5x15 cm,2023-01-01,2026-01-01,Blue/Medium,4.0
2E4H2LU9,Headphones,187.0,,3.0,11x16x8 cm,2023-07-30,2026-01-01,Red/Small,2.0
U8ABI1F4,Headphones,51.22,88.0,2.0,9x17x9 cm,2023-01-01,2025-01-01,Red/Small,2.0
ZIGALNXZ,Headphones,132.65,45.0,1.0,8x6x13 cm,2023-07-30,2025-01-01,Green/Large,2.0
0R7OT02Z,Headphones,285.97,94.0,2.0,6x20x8 cm,2023-03-15,2024-01-01,Red/Small,
HITOCNRV,Headphones,100.23,17.0,2.0,18x18x18 cm,2023-07-30,2024-01-01,Red/Small,
AJBY3U75,Monitor,31.5,66.0,3.0,18x9x11 cm,2023-07-30,2024-01-01,Blue/Medium,2.0
OY5JN18G,Laptop,71.14,14.0,3.0,19x13x6 cm,2023-07-30,2026-01-01,Red/Small,3.0
SNC554B5,Smartphone,277.71,15.0,2.0,14x10x9 cm,2023-07-30,2025-01-01,Blue/Medium,
9ONB2FEG,Monitor,90.58,44.0,1.0,19x15x15 cm,2023-07-30,2026-01-01,Green/Large,3.0
P4W8G0VK,Laptop,334.22,89.0,1.0,15x18x8 cm,2023-07-30,2025-01-01,Blue/Medium,
80450BUP,Smartphone,14.57,36.0,2.0,5x14x17 cm,2023-01-01,2026-01-01,Red/Small,4.0
QYG2OM90,Laptop,484.25,90.0,2.0,20x13x6 cm,2023-03-15,2025-01-01,Red/Small,2.0
W01YS3MX,Headphones,119.94,31.0,1.0,10x11x5 cm,2023-07-30,2025-01-01,Red/Small,4.0
FCPOGQ6X,Laptop,218.18,43.0,,11x7x12 cm,2023-01-01,2025-01-01,Blue/Medium,3.0
88TN2B6B,Headphones,481.49,80.0,2.0,11x6x6 cm,2023-07-30,2025-01-01,Blue/Medium,2.0
XFHDXIAK,Smartphone,330.8,36.0,1.0,14x6x17 cm,2023-01-01,2026-01-01,Blue/Medium,1.0
OBDKYJZK,Headphones,239.33,52.0,1.0,13x17x14 cm,2023-01-01,2026-01-01,Green/Large,2.0
Y67MDEI6,Monitor,436.25,7.0,1.0,6x16x13 cm,2023-03-15,2026-01-01,Green/Large,2.0
0PWK3FU4,Smartphone,337.53,66.0,2.0,6x9x12 cm,2023-01-01,2024-01-01,Red/Small,2.0
NM4JNGHF,Laptop,468.04,,3.0,10x14x19 cm,2023-03-15,2026-01-01,Red/Small,4.0
Y6PLTHI6,Smartphone,,,3.0,17x20x19 cm,2023-07-30,2024-01-01,Blue/Medium,4.0
GDWBMDN7,Smartphone,71.12,77.0,2.0,13x17x13 cm,2023-01-01,2026-01-01,Red/Small,4.0
4TKR3BHP,Smartphone,349.4,72.0,3.0,8x7x20 cm,2023-01-01,2025-01-01,Blue/Medium,2.0
0YRPW7JH,Headphones,22.84,28.0,,18x10x5 cm,2023-01-01,2025-01-01,Red/Small,3.0
6U0N9RC2,Smartphone,272.61,86.0,2.0,15x9x7 cm,2023-03-15,2024-01-01,Green/Large,3.0
AINBDX3E,Headphones,22.1,56.0,1.0,13x10x12 cm,2023-03-15,2025-01-01,Green/Large,4.0
AX9A2OOE,Smartphone,167.01,90.0,2.0,16x17x8 cm,2023-01-01,2026-01-01,Blue/Medium,3.0
ZGPP25N2,Laptop,,,1.0,18x12x14 cm,2023-01-01,2025-01-01,Blue/Medium,
ZIK3DJES,Laptop,287.53,86.0,3.0,9x20x12 cm,2023-07-30,2025-01-01,Blue/Medium,
X9H16BYB,Headphones,121.77,46.0,2.0,19x5x18 cm,2023-03-15,2025-01-01,Blue/Medium,4.0
QMLJG0A3,Laptop,267.56,,3.0,16x11x20 cm,2023-01-01,2026-01-01,Green/Large,4.0
CFXRT1MH,Headphones,380.5,43.0,2.0,14x5x9 cm,2023-03-15,2026-01-01,Green/Large,5.0
UZVIRSGY,Monitor,498.45,45.0,2.0,19x11x5 cm,2023-03-15,2024-01-01,Blue/Medium,5.0
DNZTTZD0,Laptop,446.18,97.0,3.0,14x14x13 cm,2023-07-30,2025-01-01,Red/Small,5.0
OJ3MCFK2,Monitor,,20.0,2.0,6x15x18 cm,2023-03-15,2026-01-01,Red/Small,5.0
010CG7I2,Smartphone,471.29,88.0,,6x12x10 cm,2023-01-01,2025-01-01,Green/Large,1.0
9EDDMQQR,Laptop,243.89,90.0,2.0,5x20x19 cm,2023-01-01,2025-01-01,Blue/Medium,3.0
Y7KQDB9U,Monitor,82.85,6.0,,19x18x6 cm,2023-03-15,2026-01-01,Green/Large,
KI8H1V8I,Laptop,243.09,3.0,3.0,20x19x6 cm,2023-01-01,2024-01-01,Blue/Medium,2.0
8R88YKE8,Monitor,103.74,,,18x7x9 cm,2023-01-01,2025-01-01,Red/Small,1.0
VBSSKXD8,Laptop,,3.0,1.0,6x7x17 cm,2023-07-30,2025-01-01,Blue/Medium,
PLRXNEUY,Monitor,427.46,44.0,,8x8x7 cm,2023-01-01,2026-01-01,Green/Large,1.0
GQY2QEF8,Laptop,449.79,39.0,1.0,17x19x10 cm,2023-03-15,2025-01-01,Green/Large,2.0
H28OSBXO,Monitor,319.37,50.0,1.0,15x17x18 cm,2023-07-30,2026-01-01,Blue/Medium,3.0
17M97TGX,Monitor,126.07,22.0,1.0,18x5x15 cm,2023-01-01,2025-01-01,Green/Large,5.0
I1JQ4COH,Laptop,44.99,,1.0,14x12x14 cm,2023-07-30,2026-01-01,Green/Large,1.0
2TPCGTIH,Headphones,,83.0,2.0,9x15x8 cm,2023-01-01,2026-01-01,Blue/Medium,5.0
I0NKSDOY,Headphones,477.16,28.0,1.0,7x6x7 cm,2023-07-30,2024-01-01,Blue/Medium,4.0
8UMUO2CA,Laptop,165.42,61.0,,11x20x12 cm,2023-07-30,2024-01-01,Red/Small,1.0
NOCN5IU6,Smartphone,38.12,28.0,1.0,16x8x7 cm,2023-07-30,2026-01-01,Red/Small,3.0
5D4BZQE1,Smartphone,121.09,56.0,2.0,13x9x7 cm,2023-03-15,2025-01-01,Green/Large,5.0
595QRMHJ,Laptop,67.63,21.0,3.0,12x20x10 cm,2023-07-30,2026-01-01,Red/Small,4.0
XTW7AHDY,Monitor,357.31,40.0,3.0,14x6x17 cm,2023-01-01,2024-01-01,Green/Large,4.0
35BVYUZF,Headphones,79.16,76.0,3.0,11x9x8 cm,2023-03-15,2024-01-01,Green/Large,3.0
2YBCAFAP,Laptop,121.94,,1.0,8x5x17 cm,2023-03-15,2026-01-01,Green/Large,
UN6V9NEJ,Headphones,362.78,6.0,3.0,11x12x17 cm,2023-03-15,2026-01-01,Green/Large,4.0
7WKJGWDT,Laptop,424.13,44.0,1.0,16x18x10 cm,2023-03-15,2024-01-01,Blue/Medium,1.0
E5HG0U5N,Headphones,398.53,,3.0,14x6x9 cm,2023-07-30,2026-01-01,Blue/Medium,5.0
5SYJ9O2W,Smartphone,179.54,62.0,2.0,15x12x19 cm,2023-01-01,2025-01-01,Red/Small,
7Y8TQW8A,Headphones,391.42,94.0,1.0,18x9x8 cm,2023-01-01,2024-01-01,Green/Large,
NB1J09OW,Monitor,429.98,28.0,,16x13x13 cm,2023-01-01,2024-01-01,Blue/Medium,5.0
I55B52QF,Monitor,21.04,21.0,2.0,13x11x12 cm,2023-03-15,2025-01-01,Blue/Medium,5.0
E56I501U,Smartphone,437.24,63.0,1.0,11x19x8 cm,2023-03-15,2025-01-01,Blue/Medium,3.0
KCYG2N19,Headphones,256.48,67.0,2.0,10x13x13 cm,2023-03-15,2025-01-01,Green/Large,2.0
JK7W4FDM,Monitor,312.91,63.0,,19x13x15 cm,2023-07-30,2024-01-01,Red/Small,1.0
JNE2PMDL,Monitor,210.87,57.0,2.0,14x10x8 cm,2023-03-15,2025-01-01,Blue/Medium,
GY9JQ85U,Headphones,349.81,,3.0,13x8x15 cm,2023-01-01,2024-01-01,Red/Small,
NSM4W9O2,Laptop,282.5,,2.0,11x20x7 cm,2023-01-01,2025-01-01,Green/Large,4.0
X12HU6KD,Laptop,,,,18x16x17 cm,2023-01-01,2026-01-01,Green/Large,4.0
XXBO5ACZ,Laptop,287.0,21.0,1.0,17x14x18 cm,2023-03-15,2026-01-01,Blue/Medium,1.0
AJNIIAW8,Smartphone,73.85,6.0,2.0,20x7x6 cm,2023-07-30,2024-01-01,Blue/Medium,5.0
U0P0RCJL,Headphones,477.32,14.0,2.0,10x18x17 cm,2023-07-30,2025-01-01,Blue/Medium,2.0
D0RC9F5R,Laptop,243.9,33.0,2.0,9x12x13 cm,2023-07-30,2024-01-01,Red/Small,
7YENBVBS,Headphones,,,2.0,6x9x7 cm,2023-01-01,2024-01-01,Blue/Medium,
TA1DG1BK,Headphones,99.7,35.0,3.0,7x14x17 cm,2023-03-15,2025-01-01,Red/Small,4.0
2DA1OG1Y,Headphones,89.35,74.0,3.0,14x13x16 cm,2023-01-01,2025-01-01,Green/Large,1.0
DFT41V27,Laptop,84.64,,1.0,17x15x6 cm,2023-01-01,2025-01-01,Green/Large,3.0
67IYV2TA,Laptop,,29.0,1.0,5x5x6 cm,2023-03-15,2024-01-01,Green/Large,1.0
90GN4S4S,Monitor,288.53,16.0,1.0,14x12x14 cm,2023-03-15,2026-01-01,Red/Small,5.0
52M03RLZ,Smartphone,325.82,39.0,1.0,14x7x18 cm,2023-03-15,2025-01-01,Green/Large,
NJ6HL1AN,Laptop,391.71,42.0,1.0,5x8x15 cm,2023-03-15,2026-01-01,Blue/Medium,
SUY3XCBQ,Smartphone,231.57,86.0,1.0,12x6x13 cm,2023-01-01,2025-01-01,Blue/Medium,2.0
ED2I0RJJ,Smartphone,430.22,,3.0,17x10x20 cm,2023-03-15,2026-01-01,Green/Large,1.0
PGG5QRQL,Smartphone,461.95,,1.0,10x19x5 cm,2023-03-15,2025-01-01,Blue/Medium,1.0
X5VF0J6I,Laptop,,53.0,3.0,8x17x6 cm,2023-07-30,2024-01-01,Green/Large,
TNKOG96A,Smartphone,373.78,80.0,3.0,10x12x18 cm,2023-03-15,2024-01-01,Blue/Medium,4.0
FOI095T1,Headphones,161.61,55.0,1.0,16x14x17 cm,2023-07-30,2024-01-01,Blue/Medium,1.0
Q5DPWHQ3,Laptop,311.82,,3.0,7x8x19 cm,2023-07-30,2024-01-01,Blue/Medium,4.0
OFNAJZJW,Monitor,111.84,87.0,2.0,5x17x18 cm,2023-03-15,2024-01-01,Green/Large,3.0
7PSJP6GE,Laptop,439.53,31.0,2.0,15x14x19 cm,2023-01-01,2026-01-01,Blue/Medium,2.0
YKT52NNE,Headphones,427.83,,2.0,6x20x10 cm,2023-07-30,2025-01-01,Red/Small,
FJD56MM6,Laptop,75.11,9.0,2.0,8x17x12 cm,2023-03-15,2024-01-01,Blue/Medium,5.0
LBH3UHHH,Smartphone,55.2,19.0,2.0,10x12x10 cm,2023-07-30,2024-01-01,Red/Small,4.0
6U6X9CNX,Headphones,141.65,61.0,3.0,14x20x5 cm,2023-01-01,2026-01-01,Red/Small,2.0
95LBUUXV,Smartphone,,95.0,2.0,17x12x9 cm,2023-07-30,2025-01-01,Green/Large,2.0
2R1OK8Z2,Monitor,379.89,3.0,3.0,11x5x9 cm,2023-01-01,2024-01-01,Green/Large,1.0
AHDB6WCH,Laptop,80.36,88.0,2.0,19x9x11 cm,2023-07-30,2024-01-01,Red/Small,2.0
OEW6H7XH,Laptop,61.56,85.0,2.0,18x11x10 cm,2023-07-30,2025-01-01,Green/Large,5.0
0A1CYDBQ,Headphones,,58.0,3.0,7x17x11 cm,2023-01-01,2026-01-01,Green/Large,
1VFJ4N45,Laptop,240.04,,1.0,16x16x15 cm,2023-07-30,2025-01-01,Blue/Medium,2.0
BDOWF7D2,Monitor,174.42,31.0,2.0,9x13x18 cm,2023-01-01,2025-01-01,Blue/Medium,3.0
SEKQSFXE,Headphones,,,1.0,5x8x14 cm,2023-07-30,2026-01-01,Blue/Medium,
2UJ7I4SZ,Headphones,23.67,58.0,2.0,13x10x6 cm,2023-03-15,2025-01-01,Blue/Medium,4.0
PLQHK79D,Smartphone,,,3.0,9x5x8 cm,2023-03-15,2024-01-01,Red/Small,
O72D4NDI,Laptop,450.51,,,12x7x11 cm,2023-03-15,2025-01-01,Blue/Medium,4.0
1WV5AHII,Headphones,463.25,60.0,1.0,11x12x8 cm,2023-01-01,2026-01-01,Red/Small,4.0
O94KG765,Headphones,,79.0,2.0,9x5x8 cm,2023-01-01,2025-01-01,Blue/Medium,
25JHT99L,Smartphone,52.07,10.0,,20x19x20 cm,2023-01-01,2025-01-01,Blue/Medium,
NURCK5HI,Laptop,249.58,16.0,2.0,5x19x16 cm,2023-07-30,2026-01-01,Green/Large,1.0
IM83HCLN,Monitor,109.02,49.0,3.0,19x15x11 cm,2023-07-30,2026-01-01,Red/Small,
QMM6FUC0,Laptop,466.62,61.0,2.0,8x6x12 cm,2023-01-01,2026-01-01,Green/Large,2.0
D4B8CZBZ,Headphones,220.53,85.0,3.0,18x7x7 cm,2023-07-30,2025-01-01,Blue/Medium,1.0
W2UXQIXI,Monitor,27.12,18.0,1.0,8x13x10 cm,2023-03-15,2025-01-01,Green/Large,1.0
IEV1KVRG,Headphones,363.83,74.0,2.0,18x18x10 cm,2023-01-01,2024-01-01,Green/Large,1.0
